T u_ddot u_dot u pseudo
1.980	             0.51193	             1.62181	             0.49869	             0.51191
2.000	             0.50142	             1.60035	             0.49839	             0.50142
2.020	             0.49446	             1.56721	             0.50136	             0.49447
2.040	             0.48658	             1.54714	             0.50317	             0.48657
2.060	             0.47666	             1.55655	             0.50262	             0.47664
2.080	             0.46486	             1.55554	             0.49974	             0.46485
2.100	             0.45127	             1.54649	             0.49451	             0.45126
2.120	             0.43609	             1.53416	             0.48701	             0.43607
2.140	             0.41964	             1.52126	             0.47755	             0.41964
2.160	             0.40247	             1.50540	             0.46659	             0.40246
2.180	             0.38959	             1.48532	             0.46007	             0.38959
2.200	             0.38192	             1.46053	             0.45932	             0.38191
2.220	             0.37363	             1.42923	             0.45755	             0.37361
2.240	             0.36485	             1.39074	             0.45490	             0.36485
2.260	             0.35574	             1.34552	             0.45148	             0.35573
2.280	             0.34631	             1.29446	             0.44732	             0.34629
2.300	             0.33650	             1.23911	             0.44232	             0.33649
2.320	             0.32629	             1.18082	             0.43640	             0.32628
2.340	             0.31566	             1.15215	             0.42949	             0.31565
2.360	             0.30463	             1.13303	             0.42159	             0.30462
2.380	             0.29323	             1.11072	             0.41273	             0.29323
2.400	             0.28375	             1.08613	             0.40614	             0.28375
2.420	             0.27514	             1.06204	             0.40040	             0.27514
2.440	             0.26648	             1.04671	             0.39424	             0.26648
2.460	             0.25783	             1.03200	             0.38770	             0.25782
2.480	             0.24922	             1.01576	             0.38086	             0.24921
2.500	             0.24071	             1.00985	             0.37383	             0.24071
2.520	             0.23234	             1.00692	             0.36663	             0.23234
2.540	             0.22412	             1.00237	             0.35930	             0.22412
2.560	             0.21606	             0.99625	             0.35184	             0.21605
2.580	             0.20816	             0.98868	             0.34430	             0.20816
2.600	             0.20046	             0.97979	             0.33672	             0.20046
2.620	             0.19297	             0.96971	             0.32915	             0.19297
2.640	             0.18571	             0.95852	             0.32162	             0.18570
2.660	             0.17871	             0.94632	             0.31420	             0.17871
2.680	             0.17202	             0.93325	             0.30701	             0.17202
2.700	             0.16676	             0.91946	             0.30206	             0.16675
2.720	             0.16314	             0.90499	             0.29992	             0.16314
2.740	             0.15953	             0.88999	             0.29760	             0.15952
2.760	             0.15592	             0.87452	             0.29513	             0.15591
2.780	             0.15232	             0.85863	             0.29250	             0.15231
2.800	             0.14873	             0.84238	             0.28974	             0.14872
2.820	             0.14516	             0.82587	             0.28685	             0.14516
2.840	             0.14163	             0.80906	             0.28384	             0.14162
2.860	             0.13812	             0.79216	             0.28072	             0.13811
2.880	             0.13465	             0.77508	             0.27752	             0.13465
2.900	             0.13122	             0.75803	             0.27423	             0.13122
2.920	             0.12785	             0.74091	             0.27086	             0.12784
2.940	             0.12452	             0.72388	             0.26743	             0.12451
2.960	             0.12124	             0.70692	             0.26396	             0.12124
2.980	             0.11803	             0.69004	             0.26044	             0.11802
3.000	             0.11487	             0.67338	             0.25690	             0.11487
3.020	             0.11178	             0.66481	             0.25333	             0.11178
3.040	             0.10876	             0.65664	             0.24976	             0.10876
3.060	             0.10580	             0.64855	             0.24618	             0.10580
3.080	             0.10292	             0.64046	             0.24260	             0.10291
3.100	             0.10010	             0.63240	             0.23902	             0.10009
3.120	             0.09734	             0.62437	             0.23546	             0.09734
3.140	             0.09466	             0.61639	             0.23190	             0.09465
3.160	             0.09203	             0.60847	             0.22836	             0.09203
3.180	             0.08947	             0.60470	             0.22483	             0.08947
3.200	             0.08697	             0.60314	             0.22131	             0.08697
3.220	             0.08454	             0.60160	             0.21780	             0.08454
3.240	             0.08216	             0.60010	             0.21432	             0.08216
3.260	             0.07985	             0.59864	             0.21086	             0.07984
3.280	             0.07759	             0.59720	             0.20742	             0.07759
3.300	             0.07539	             0.59579	             0.20401	             0.07539
3.320	             0.07325	             0.59441	             0.20063	             0.07325
3.340	             0.07117	             0.59417	             0.19728	             0.07117
3.360	             0.06914	             0.59427	             0.19397	             0.06914
3.380	             0.06717	             0.59436	             0.19069	             0.06717
3.400	             0.06526	             0.59445	             0.18745	             0.06526
3.420	             0.06340	             0.59453	             0.18425	             0.06339
3.440	             0.06158	             0.59461	             0.18109	             0.06158
3.460	             0.05982	             0.59469	             0.17796	             0.05982
3.480	             0.05831	             0.59476	             0.17547	             0.05831
3.500	             0.05717	             0.59483	             0.17401	             0.05716
3.520	             0.05605	             0.59490	             0.17257	             0.05605
3.540	             0.05498	             0.59496	             0.17121	             0.05498
3.560	             0.05401	             0.59502	             0.17009	             0.05401
3.580	             0.05306	             0.59508	             0.16899	             0.05306
3.600	             0.05214	             0.59514	             0.16790	             0.05214
3.620	             0.05123	             0.59519	             0.16682	             0.05123
3.640	             0.05034	             0.59525	             0.16575	             0.05034
3.660	             0.04947	             0.59532	             0.16468	             0.04947
3.680	             0.04862	             0.59538	             0.16362	             0.04862
3.700	             0.04779	             0.59544	             0.16256	             0.04779
3.720	             0.04697	             0.59549	             0.16151	             0.04697
3.740	             0.04617	             0.59554	             0.16047	             0.04617
3.760	             0.04539	             0.59560	             0.15944	             0.04538
3.780	             0.04462	             0.59564	             0.15841	             0.04461
3.800	             0.04386	             0.59569	             0.15739	             0.04386
3.820	             0.04313	             0.59573	             0.15637	             0.04312
3.840	             0.04240	             0.59578	             0.15537	             0.04240
3.860	             0.04170	             0.59582	             0.15437	             0.04169
3.880	             0.04100	             0.59585	             0.15337	             0.04100
3.900	             0.04032	             0.59589	             0.15239	             0.04032
3.920	             0.03966	             0.59592	             0.15142	             0.03965
3.940	             0.03900	             0.59596	             0.15045	             0.03900
3.960	             0.03837	             0.59599	             0.14950	             0.03837
3.980	             0.03774	             0.59602	             0.14855	             0.03774
4.000	             0.03713	             0.59605	             0.14762	             0.03713
