t ug_ddot
0	0.0015
0.005	0.0021
0.01	0.0054
0.015	0.0088
0.02	0.0067
0.025	-0.0012
0.03	-0.0104
0.035	-0.0155
0.04	-0.0144
0.045	-0.0089
0.05	-0.0019
0.055	0.0041
0.06	0.0077
0.065	0.01
0.07	0.013
0.075	0.0172
0.08	0.0211
0.085	0.0222
0.09	0.0185
0.095	0.0107
0.1	0.002
0.105	-0.005
0.11	-0.0088
0.115	-0.009
0.12	-0.0083
0.125	-0.0108
0.13	-0.0193
0.135	-0.0339
0.14	-0.0509
0.145	-0.065
0.15	-0.0717
0.155	-0.0693
0.16	-0.0593
0.165	-0.0448
0.17	-0.0279
0.175	-0.0083
0.18	0.0131
0.185	0.0346
0.19	0.0541
0.195	0.0674
0.2	0.0718
0.205	0.0682
0.21	0.0585
0.215	0.0446
0.22	0.0273
0.225	0.0085
0.23	-0.0089
0.235	-0.0227
0.24	-0.0319
0.245	-0.0357
0.25	-0.0347
0.255	-0.0311
0.26	-0.0285
0.265	-0.027
0.27	-0.0242
0.275	-0.0184
0.28	-0.0111
0.285	-0.004
0.29	0.0013
0.295	0.0044
0.3	0.0067
0.305	0.0111
0.31	0.0191
0.315	0.0292
0.32	0.0381
0.325	0.0429
0.33	0.0436
0.335	0.0416
0.34	0.0378
0.345	0.0321
0.35	0.0245
0.355	0.0168
0.36	0.0101
0.365	0.003
0.37	-0.0056
0.375	-0.0151
0.38	-0.0236
0.385	-0.0296
0.39	-0.031
0.395	-0.0266
0.4	-0.0184
0.405	-0.0109
0.41	-0.0071
0.415	-0.007
0.42	-0.0097
0.425	-0.0141
0.43	-0.0172
0.435	-0.0132
0.44	0.0016
0.445	0.0251
0.45	0.0495
0.455	0.0653
0.46	0.0669
0.465	0.055
0.47	0.0351
0.475	0.0133
0.48	-0.0058
0.485	-0.0201
0.49	-0.03
0.495	-0.0382
0.5	-0.0474
0.505	-0.0578
0.51	-0.0666
0.515	-0.071
0.52	-0.0695
0.525	-0.0612
0.53	-0.0466
0.535	-0.0267
0.54	-0.0037
0.545	0.0183
0.55	0.0345
0.555	0.0408
0.56	0.0348
0.565	0.0174
0.57	-0.0069
0.575	-0.0312
0.58	-0.0491
0.585	-0.0572
0.59	-0.055
0.595	-0.0436
0.6	-0.0267
0.605	-0.0094
0.61	0.0052
0.615	0.017
0.62	0.0287
0.625	0.0429
0.63	0.0605
0.635	0.0795
0.64	0.0946
0.645	0.0993
0.65	0.0903
0.655	0.0701
0.66	0.0444
0.665	0.0187
0.67	-0.0052
0.675	-0.0285
0.68	-0.0523
0.685	-0.076
0.69	-0.0961
0.695	-0.1067
0.7	-0.1035
0.705	-0.0869
0.71	-0.0646
0.715	-0.0471
0.72	-0.0387
0.725	-0.034
0.73	-0.0242
0.735	-0.0042
0.74	0.0228
0.745	0.0491
0.75	0.068
0.755	0.0757
0.76	0.0712
0.765	0.0574
0.77	0.0404
0.775	0.0249
0.78	0.0111
0.785	-0.0046
0.79	-0.024
0.795	-0.0446
0.8	-0.0621
0.805	-0.0737
0.81	-0.0798
0.815	-0.0814
0.82	-0.0781
0.825	-0.0689
0.83	-0.0526
0.835	-0.0302
0.84	-0.0071
0.845	0.0109
0.85	0.0194
0.855	0.0159
0.86	0.0002
0.865	-0.0254
0.87	-0.0567
0.875	-0.0875
0.88	-0.1141
0.885	-0.1366
0.89	-0.156
0.895	-0.1713
0.9	-0.1806
0.905	-0.1828
0.91	-0.1774
0.915	-0.1649
0.92	-0.1465
0.925	-0.1243
0.93	-0.1026
0.935	-0.0863
0.94	-0.0766
0.945	-0.072
0.95	-0.0714
0.955	-0.0732
0.96	-0.0755
0.965	-0.0771
0.97	-0.077
0.975	-0.0757
0.98	-0.0742
0.985	-0.0736
0.99	-0.0741
0.995	-0.0758
1	-0.0782
1.005	-0.0814
1.01	-0.085
1.015	-0.0882
1.02	-0.089
1.025	-0.0856
1.03	-0.0769
1.035	-0.0624
1.04	-0.043
1.045	-0.0205
1.05	0.0037
1.055	0.029
1.06	0.0566
1.065	0.0876
1.07	0.1201
1.075	0.1523
1.08	0.1842
1.085	0.2148
1.09	0.2429
1.095	0.2699
1.1	0.2975
1.105	0.3254
1.11	0.3529
1.115	0.3796
1.12	0.4035
1.125	0.4234
1.13	0.4398
1.135	0.4536
1.14	0.4646
1.145	0.4719
1.15	0.4751
1.155	0.4738
1.16	0.4668
1.165	0.4541
1.17	0.4384
1.175	0.4231
1.18	0.4098
1.185	0.3984
1.19	0.3896
1.195	0.3835
